title,author,isbn,publicationYear,numberOfCopies
The Guardians: A Novel,John Grisham,9780385544191,2019,5
Shantaram,Gregory David Roberts,9781405516976,2012,9
The Burning White: Book Five of Lightbringer,Brent Weeks,9780356504650,2019,5
Dead Silent,Shirley Wells,9781426892103,2011,5
Platform Revolution: How Networked Markets Are Transforming the Economy—and How to Make Them Work for You,Geoffrey G. Parker,9780393249125,2016,9
The Man in the High Castle,Philip K. Dick,9780547601205,2012,2
Total Control,David Baldacci,9780330523332,2011,9
Antiques Knock-Off,Barbara Allan,9780758277695,2012,7
"The Name of the Wind: The Kingkiller Chronicle:, Book 1",Patrick Rothfuss,9780575087057,2010,10
Shall We Tell the President?,Jeffrey Archer,9780330524759,2011,4
The Tower of the Swallow: Witcher 6,Andrzej Sapkowski,9781473211582,2016,7
Death in an Elegant City: An English Village Murder Mystery,Sara Rosett,Flowing text,2016,9
"Rogue, Prisoner, Princess (Of Crowns and Glory—Book 2)",Morgan Rice,9781632918031,2016,4
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,9781683356950,2019,9
Auberon,James S. A. Corey,9780356504322,2019,1
Watching (The Making of Riley Paige—Book 1),Blake Pierce,9781640294127,2018,3
The Mysterious Affair at Styles (Poirot),Agatha Christie,9780007422586,2010,10
15 Delicious Slow Cooker Recipes,Sallie Stone,9783743895003,2019,1
Little Girl Lost: A Lucy Black Thriller,Brian McGilloway,9780062336583,2014,3
"The Complete Works of William Shakespeare: All 213 Plays, Poems, Sonnets, Apocryphal Plays + The Biography: The Life of William Shakespeare by Sidney Lee: Hamlet - Romeo and Juliet - King Lear - A Midsummer Night’s Dream - Macbeth - The Tempest - Othello and many more",William Shakespeare,9788026804758,2014,3
Dark Age,Pierce Brown,9780425285954,2019,2
Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,9781473526853,2016,2
Marvel Universe Vs. The Punisher: Volume 1,Jonathan Maberry,9780785179009,2011,6
It,Stephen King,9781501141232,2016,9
War and Peace: With bonus material from Give War and Peace A Chance by Andrew D. Kaufman,Leo Tolstoy,9781476789477,2014,1
A Trace of Vice (a Keri Locke Mystery--Book #3),Blake Pierce,9781640290112,2017,2
The Memoirs of Sherlock Holmes,Arthur Conan Doyle,9781476797502,2014,1
Find Me: A Novel,André Aciman,9780374722104,2019,5
Dark Matter: A Novel,Blake Crouch,9781101904237,2016,1
Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,9781473526853,2016,3
"Shadowbred: The Twilight War, Book 1",Paul S. Kemp,9780786956890,2010,10
Strawberry Shortcake Murder,Joanne Fluke,9781617731259,2011,6
The Witcher #1,Paul Tobin,Original pages,2014,7
Spider-Man: Anti-Venom,Dan Slott,9780785182962,2010,3
Battle Sight Zero,Gerald Seymour,9781473663527,2019,8
The Neatest Little Guide to Stock Market Investing: Fifth Edition,Jason Kelly,9781101615478,2012,4
Kingdom Of Strangers,Zoe Ferraris,9780748129942,2012,1
On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,9780804190121,2017,5
In Dark Company: A Kate Burkholder Short Story,Linda Castillo,9781250314161,2018,5
The Infinite Game,Simon Sinek,9780735213524,2019,7
Freakonomics Rev Ed: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,9780061792809,2010,9
Killer Blonde,Laura Levine,9780758265111,2008,2
Total Control,David Baldacci,9780330523332,2011,7
Permanent Record,Edward Snowden,9781250237248,2019,2
Little Girl Lost: A Lucy Black Thriller,Brian McGilloway,9780062336583,2014,4
Kiss the Girls and Make Them Cry,Mary Higgins Clark,9781471167690,2019,10
"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial",Tony Robbins,9780743274333,2007,7
The Eye of the World: Book One of 'The Wheel of Time',Robert Jordan,9781429959810,2000,2
"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible, Edition 2",Brian Tracy,9781605099408,2010,6
15 Delicious Slow Cooker Recipes,Sallie Stone,9783743895003,2019,6
Moby Dick. Illustrated edition,Melville Herman,"Flowing text, Google-generated PDF",2018,2
Selling 101: What Every Successful Sales Professional Needs to Know,Zig Ziglar,9781418530297,2003,8
Legacy,Shannon Messenger,9781534427358,2019,2
"Rogue, Prisoner, Princess (Of Crowns and Glory—Book 2)",Morgan Rice,9781632918031,2016,2
Letting Go,"David R. Hawkins, M.D./Ph.D.",9781401945534,2013,6
10 Ways to be annoying,James Fries,9781526012487,2019,10
Shall We Tell the President?,Jeffrey Archer,9780330524759,2011,5
A Crown of Swords: Book Seven of 'The Wheel of Time',Robert Jordan,9781429960571,2010,9
The Guardians: A Novel,John Grisham,9780385544191,2019,1
Final Option,Clive Cussler,9780525541820,2019,4
Rogues,George R. R. Martin,9780804179607,2014,4
That Time I got Reincarnated as a Slime 11,Story by FUSE,9781646590797,2019,1
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,9780679603856,2012,6
Sword of Destiny: Witcher 2: Tales of the Witcher,Andrzej Sapkowski,9781473211551,2015,4
You'll Never See Daylight Again,Michaella McCollum,9781789460148,2019,6
Watching (The Making of Riley Paige—Book 1),Blake Pierce,9781640294127,2018,9
A Game of Thrones: A Song of Ice and Fire: Book One,George R. R. Martin,9780553897845,2003,3
The Mysterious Affair at Styles,Agatha Christie,9780007463497,2013,6
The Empty Nest: An unputdownably gripping psychological thriller,Sue Watson,9781838880415,2019,5
Mighty Thor Vol. 2: Lords Of Midgard,Jason Aaron,9781302494605,2016,5
Mrs. Pollifax Unveiled,Dorothy Gilman,9780345443076,2000,9
Blue Moon: A Jack Reacher Novel,Lee Child,9780399593550,2019,9
A Dance with Dragons: A Song of Ice and Fire: Book Five,George R. R. Martin,9780553905656,2011,9
Home Work: A Memoir of My Hollywood Years,Julie Andrews,9781474602198,2019,10
"The Painted Man (The Demon Cycle, Book 1)",Peter V. Brett,9780007287758,2009,7
Powerful Phrases for Dealing with Difficult People: Over 325 Ready-to-Use Words and Phrases for Working with Challenging Personalities,Renee Evenson,9780814432990,2013,6
Green Lantern: Secret Origin,Geoff Johns,9781401236410,2011,1
Moby Dick. Illustrated edition,Melville Herman,"Flowing text, Google-generated PDF",2018,9
How to Win Friends and Influence People,Dale Carnegie,9781409005216,2010,3
Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,9781473526853,2016,9
War and Peace: With bonus material from Give War and Peace A Chance by Andrew D. Kaufman,Leo Tolstoy,9781476789477,2014,9
Competitive Advantage: Creating and Sustaining Superior Performance,Michael E. Porter,9781416595847,2008,5
Summary: The Compound Effect,Nine99 Innovation Lab,"Flowing text, Google-generated PDF",2019,3
And Then There Were None,Agatha Christie,9780007422135,2010,7
"The Complete Works of William Shakespeare: All 213 Plays, Poems, Sonnets, Apocryphal Plays + The Biography: The Life of William Shakespeare by Sidney Lee: Hamlet - Romeo and Juliet - King Lear - A Midsummer Night’s Dream - Macbeth - The Tempest - Othello and many more",William Shakespeare,9788026804758,2014,8
The Art of War (The Classic Lionel Giles Translation),Sun Tzu,9788074844553,2012,5
Heart and Brain: An Awkward Yeti Collection,The Awkward Yeti,9781449474836,2015,6
Twas The Nightshift Before Christmas: Festive hospital diaries from the author of million-copy hit This is Going to Hurt,Adam Kay,9781529018592,2019,3
Platform: Get Noticed in a Noisy World,Michael Hyatt,9781595555045,2012,6
Ultimate Spider-Man Vol. 11: Carnage,Brian Michael Bendis,9780785180197,2014,9
Diabolical,Jana DeLeon,9781940270371,2016,10
Introducing Critical Theory: A Graphic Guide,Stuart Sim,9781840469097,2004,6
Final Option,Clive Cussler,9780525541820,2019,10
Indistractable: How to Control Your Attention and Choose Your Life,Nir Eyal,9781526610232,2019,4
The Secret,Rhonda Byrne,9781416554998,2007,7
"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible, Edition 2",Brian Tracy,9781605099408,2010,3
The Art of War (The Classic Lionel Giles Translation),Sun Tzu,9788074844553,2012,2
The Shadow Rising: Book Four of 'The Wheel of Time',Robert Jordan,9781429960199,2010,2
Bring Me Back,B A Paris,9780008244880,2018,9
Business Strategy (The Brian Tracy Success Library),Brian Tracy,9780814436288,2015,5
Personal Success (The Brian Tracy Success Library),Brian Tracy,9780814437049,2016,1
Dead Silent,Shirley Wells,9781426892103,2011,7
"A Game of Thrones: The Story Continues Books 1-5: A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, A Dance with Dragons (A Song of Ice and Fire)",George R.R. Martin,9780007482931,2012,9
Total Control,David Baldacci,9780330523332,2011,5
Civil War: Volume 1,Mark Millar,9780785170242,2011,9
Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,9781473526853,2016,6
